ID_Pedido,Data_Venda,Categoria,Preco_Unitario,Quantidade,Idade_Cliente
1,2023-03-07 00:00:00,Alimentos,114.9222412398552,3.0,61.0
2,2023-09-04 00:00:00,Casa,154.03153041699403,4.0,19.0
3,2023-12-08 00:00:00,Alimentos,124.89724375723091,6.0,53.0
4,2023-11-02 00:00:00,Alimentos,148.56984675992504,6.0,38.0
5,2023-09-20 00:00:00,Casa,162.4631984631659,,66.0
6,2023-01-06 00:00:00,ROUPAS,137.51099047556428,2.0,47.0
7,2023-11-07 00:00:00,Eletrônicos,186.65177349525436,1.0,65.0
8,2023-08-10 00:00:00,Roupas,136.10237747770563,9.0,74.0
9,2023-07-02 00:00:00,Eletrônicos,"R$ 155,32",2.0,38.0
10,2023-07-29 00:00:00,Roupas,170.87046252972192,2.0,20.0
11,2023-10-29 00:00:00,Casa,164.7065373933282,1.0,24.0
12,2023-01-28 00:00:00,Casa,171.97094300129723,8.0,51.0
13,2023-12-04 00:00:00,Eletrônicos,135.07503737730326,5.0,
14,2023-03-23 00:00:00,Casa,100.20412736487683,7.0,34.0
15,2023-09-27 00:00:00,Beleza,148.95391795527712,5.0,36.0
16,2023-10-11 00:00:00,Casa,132.29827983488576,9.0,68.0
17,2023-10-31 00:00:00,roupa,93.53907811726286,7.0,18.0
18,2023-02-07 00:00:00,Roupas,64.84852392447952,1.0,50.0
19,2023-08-21 00:00:00,Beleza,64.19219643873676,5.0,30.0
20,2023-10-05 00:00:00,ELETRONICOS,198.25467859374356,3.0,48.0
21,2023-02-08 00:00:00,Roupas,147.08331181584785,5.0,36.0
22,2023-09-05 00:00:00,Alimentos,221.98526683716352,4.0,38.0
23,2023-11-24 00:00:00,Alimentos,106.94087554063954,9.0,48.0
24,2023-02-23 00:00:00,Eletrônicos,79.93339704871853,1.0,32.0
25,2023-05-01 00:00:00,Eletrônicos,-50.0,6.0,58.0
26,2023-10-01 00:00:00,Beleza,180.60061538272728,8.0,51.0
27,2023-10-11 00:00:00,Roupas,"R$ 175,63",7.0,65.0
